=== PocketFlow Diagnostics Report ===
Generated: 2026-04-19 00:27:21.818502
Privacy Mode: Detailed (Included Transactions)

App Version: 1.0.0 (1)
Platform: android T1SAS33.73-40-2-17
Connectivity: [ConnectivityResult.wifi]

=== PocketFlow Diagnostics ===
Exported: 2026-04-19T00:27:21.818504
Type: Full Technical Logs

Total entries: 500

--- Summary ---
Errors: 6
Warnings: 0

--- USERACTION (2) ---
2026-04-19T00:26:08 INFO    [userAction]   send_diagnostics | Diagnostics report shared
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | income $3137.0 Salary
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | income $3137.0 Salary
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | income $3137.0 Salary
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $8423.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $17499.26 Phone
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | income $3137.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $252022.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $17000.0 Phone
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $17924.95 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $3627.24 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $5.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $3500.0 Phone
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $3500.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $9577.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $3627.24 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $14424.95 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $14424.95 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $3627.24 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $2022.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $14424.95 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $3627.24 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | income $3137.0 Salary
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $7330.0 Groceries
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | income $3137.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $3281.0 Phone
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $10500.0 Phone
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $3500.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $10881.07 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $8423.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | income $2602.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $3221.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $8423.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $10881.07 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $8423.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $10881.07 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $8423.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $10881.07 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | income $3137.0 Salary
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | income $3137.0 Salary
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | income $3137.0 Salary
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $69611.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $8423.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $10881.07 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | income $1.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $8423.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $10881.07 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $3500.0 Other
2026-04-19T00:22:06 DEBUG   [database]     insertTransaction | expense $7420.1 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $8423.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $8423.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $7420.1 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | income $3137.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | income $3281.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | income $2022.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $4569.78 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $8423.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $122022.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $3499.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $1.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $8423.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | income $3137.0 Salary
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $95670.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $8423.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $102022.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $3281.0 Phone
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $8423.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $92022.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $7330.0 Groceries
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $8423.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $8423.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $8423.0 Phone
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $5000.0 Phone
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $8924.89 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $95687.0 Phone
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $8924.89 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $3281.0 Phone
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $8924.89 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $42022.0 Other
2026-04-19T00:22:07 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $9188.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $8924.89 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $3281.0 Phone
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $3281.0 Phone
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $7330.0 Groceries
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | income $115109.54 Salary
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $8924.89 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $22022.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $3281.0 Phone
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $3655.58 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $8924.89 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $7330.0 Groceries
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $3281.0 Phone
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $3656.94 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $8924.89 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $302022.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $3783.94 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $8924.89 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $8924.89 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $3808.94 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | income $3137.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | income $3281.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $8929.38 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $272022.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $8929.38 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $8973.91 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $8929.38 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $3281.0 Phone
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $8973.91 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | income $3137.0 Salary
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $8973.91 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $2022.0 Other
2026-04-19T00:22:08 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:09 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:09 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:09 DEBUG   [database]     insertTransaction | expense $8973.91 Other
2026-04-19T00:22:09 DEBUG   [database]     insertTransaction | expense $3281.0 Phone
2026-04-19T00:22:09 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:09 DEBUG   [database]     insertTransaction | expense $192022.0 Other
2026-04-19T00:22:09 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:09 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:09 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:09 DEBUG   [database]     insertTransaction | expense $3281.0 Other
